query_id,device,rule_title,has_label_2,has_label_1,label2_ttps,label1_ttps
9069ea3c-b213-4c52-be13-86506a227ab1,EDR,Linux Crypto Mining Indicators,1,1,,
2992ac4d-31e9-4325-99f2-b18a73221bb2,EDR,ESXi VM Kill Via ESXCLI,1,1,,
f8341cb2-ee25-43fa-a975-d8a5a9714b39,EDR,BPFtrace Unsafe Option Usage,1,1,,
c9d8b7fd-78e4-44fe-88f6-599135d46d60,EDR,Security Software Discovery - Linux,1,1,,
818f7b24-0fba-4c49-a073-8b755573b9c7,EDR,Linux Webshell Indicators,1,1,,
676381a6-15ca-4d73-a9c8-6a22e970b90d,EDR,Local Groups Discovery - Linux,1,1,,
3a716279-c18c-4488-83be-f9ececbfb9fc,EDR,Linux Setgid Capability Set on a Binary via Setcap Utility,1,1,,
312b42b1-bded-4441-8b58-163a3af58775,EDR,Potentially Suspicious Execution From Tmp Folder,1,1,,
e80273e1-9faf-40bc-bd85-dbaff104c4e9,EDR,ESXi System Information Discovery Via ESXCLI,1,1,,
ea34fb97-e2c4-4afb-810f-785e4459b194,EDR,Curl Usage on Linux,1,1,,
d3feb4ee-ff1d-4d3d-bd10-5b28a238cc72,EDR,File and Directory Discovery - Linux,1,1,,
0f79c4d2-4e1f-4683-9c36-b5469a665e06,EDR,Access of Sudoers File Content,1,1,,
3e102cd9-a70d-4a7a-9508-403963092f31,EDR,Linux Network Service Scanning Tools Execution,1,1,,
7ab8f73a-fcff-428b-84aa-6a5ff7877dea,EDR,Vim GTFOBin Abuse - Linux,1,1,,
d292e0af-9a18-420c-9525-ec0ac3936892,EDR,Suspicious Java Children Processes,1,1,,
297241f3-8108-4b3a-8c15-2dda9f844594,EDR,Suspicious Invocation of Shell via Rsync,1,1,,
8a46f16c-8c4c-82d1-b121-0fdd3ba70a84,EDR,Group Has Been Deleted Via Groupdel,1,1,,
95d61234-7f56-465c-6f2d-b562c6fedbc4,EDR,Linux Package Uninstall,1,0,,
6419afd1-3742-47a5-a7e6-b50386cd15f8,EDR,Chmod Suspicious Directory,1,0,,
f9b3edc5-3322-4fc7-8aa3-245d646cc4b7,EDR,Potential Linux Amazon SSM Agent Hijacking,0,1,,
ec52985a-d024-41e3-8ff6-14169039a0b3,EDR,Mount Execution With Hidepid Parameter,1,1,,
2953194b-e33c-4859-b9e8-05948c167447,EDR,DD File Overwrite,1,1,,
9691f58d-92c1-4416-8bf3-2edd753ec9cf,EDR,ESXi Admin Permission Assigned To Account Via ESXCLI,1,1,,
84c9e83c-599a-458a-a0cb-0ecce44e807a,EDR,Ufw Force Stop Using Ufw-Init,1,0,,
33e814e0-1f00-4e43-9c34-31fb7ae2b174,EDR,ESXi Network Configuration Discovery Via ESXCLI,1,1,,
d27ab432-2199-483f-a297-03633c05bae6,EDR,OS Architecture Discovery Via Grep,1,1,,
30aed7b6-d2c1-4eaf-9382-b6bc43e50c57,EDR,File Deletion,1,1,,
